Date	Female_parent	Male_parent	CrossFamily	FemaleSp	MaleSp	Cross	Who	Bud	Fruited	Number_of_seeds
14-Nov	18-18	18-19	18-18x18-19	Au	Au	AuxAu	IL	0	1	2
19-Nov	18-18	18-19	18-18x18-19	Au	Au	AuxAu	IL	0	1	2
20-Nov	18-18	18-19	18-18x18-19	Au	Au	AuxAu	AF	1	0	0
21-Nov	18-18	18-19	18-18x18-19	Au	Au	AuxAu	IL	0	1	3
27-Nov	18-18	18-19	18-18x18-19	Au	Au	AuxAu	IL	1	0	0
29-Jan	18-18	18-21	18-18x18-21	Au	Au	AuxAu	AF	1	0	0
29-Jan	18-18	18-21	18-18x18-21	Au	Au	AuxAu	AF	0	1	3
29-Jan	18-18	18-21	18-18x18-21	Au	Au	AuxAu	AF	0	1	3
29-Jan	18-18	18-21	18-18x18-21	Au	Au	AuxAu	AF	0	1	4
20-Nov	18-19	18-18	18-19x18-18	Au	Au	AuxAu	AF	1	0	0
28-Nov	18-19	18-18	18-19x18-18	Au	Au	AuxAu	AF	0	1	3
30-Nov	18-19	18-18	18-19x18-18	Au	Au	AuxAu	AF	0	1	4
1-Dec	18-19	18-18	18-19x18-18	Au	Au	AuxAu	IL	0	1	3
5-Dec	18-19	18-18	18-19x18-18	Au	Au	AuxAu	AF	0	1	2
20-Nov	18-19	18-22	18-19x18-22	Au	Au	AuxAu	AF	0	1	2
27-Nov	18-19	18-22	18-19x18-22	Au	Au	AuxAu	IL	0	1	4
28-Nov	18-19	18-22	18-19x18-22	Au	Au	AuxAu	AF	0	1	3
28-Nov	18-19	18-22	18-19x18-22	Au	Au	AuxAu	AF	0	1	3
1-Dec	18-19	18-22	18-19x18-22	Au	Au	AuxAu	IL	0	1	2
4-Dec	18-19	18-22	18-19x18-22	Au	Au	AuxAu	IL	0	1	4
17-Dec	18-20	18-21	18-20x18-21	Au	Au	AuxAu	IL	0	1	2
31-Dec	18-20	18-21	18-20x18-21	Au	Au	AuxAu	IL	1	0	0
1-Feb	18-20	18-21	18-20x18-21	Au	Au	AuxAu	AF	0	1	4
1-Feb	18-20	18-21	18-20x18-21	Au	Au	AuxAu	AF	0	1	4
1-Feb	18-20	18-21	18-20x18-21	Au	Au	AuxAu	AF	0	1	4
7-Nov	18-20	18-22	18-20x18-22	Au	Au	AuxAu	AF	1	0	0
7-Nov	18-20	18-22	18-20x18-22	Au	Au	AuxAu	AF	0	1	1
