Cross	fail	success	
AuxAu	19	34	0.641509434
AuxC	33	17	0.34
AuxG	8	44	0.846153846
AuxLa	15	32	0.680851064
AuxLe	22	25	0.531914894
CxAu	44	5	0.102040816
CxG	45	5	0.1
CxLe	42	3	0.066666667
GxAu	10	45	0.818181818
GxC	38	11	0.224489796
GxG	22	30	0.576923077
GxLa	19	29	0.604166667
GxLe	25	28	0.528301887
LaxAu	20	25	0.555555556
LaxG	28	23	0.450980392
LaxLe	8	43	0.843137255
LexAu	22	27	0.551020408
LexC	42	5	0.106382979
LexG	30	23	0.433962264
LexLa	13	34	0.723404255
LexLe	27	23	0.46
AAGG	41	64	0.60952381
(AuxG)	18	89	0.831775701
(AuxLa)	35	57	0.619565217
(AuxLe)	44	52	0.541666667
(AuxC)	77	22	0.222222222
(GxLa)	47	52	0.525252525
(GxLe)	55	51	0.481132075
(GxC)	83	16	0.161616162
(AuGxLa)	34	61	0.642105263
(LaxAuG)	48	48	0.5
(AuGxLe)	47	53	0.53
(LexAuG)	52	50	0.490196078
(AuGxC)	71	28	0.282828283
(CxAuG)	89	10	0.101010101
LaxS	10	40	0.8
LeLeLaS	37	63	0.63
(LexLa)	21	77	0.785714286
